City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Souillac,MU,-20.5167,57.5167,68.38,73,40,3.44,scattered clouds
253,Beira,MZ,-19.8436,34.8389,78.89,78,20,11.5,few clouds
254,Puerto Carreno,CO,6.189,-67.4859,78.78,94,20,4.61,few clouds
255,Pag,HR,44.445,15.0575,64.98,75,11,17.29,few clouds
256,Rovaniemi,FI,66.5,25.7167,35.01,93,0,6.91,clear sky
257,Llangefni,GB,53.2556,-4.3106,57.06,82,100,10.36,overcast clouds
258,Talnakh,RU,69.4865,88.3972,34.21,97,100,13.47,light snow
259,Taoudenni,ML,22.6783,-3.9836,85.86,16,84,13.29,broken clouds
260,Harper,LR,4.375,-7.7169,76.39,88,91,6.13,light rain
261,Vuktyl,RU,63.8567,57.3094,33.22,83,100,10.22,overcast clouds
262,Jaristea,RO,45.7833,27.0667,52.74,62,91,7.25,overcast clouds
263,Marawi,PH,7.9986,124.2928,72.61,90,100,2.15,overcast clouds
264,Santiago Del Estero,AR,-27.7951,-64.2615,74.14,50,95,5.73,overcast clouds
265,Grand Gaube,MU,-20.0064,57.6608,68.4,72,21,1.99,few clouds
266,Talara,PE,-4.5772,-81.2719,65.16,77,0,19.57,clear sky
267,Santa Cruz Cabralia,BR,-16.2781,-39.0247,75.43,78,20,8.05,few clouds
268,Manjacaze,MZ,-24.7117,33.8828,65.77,95,4,3.94,clear sky
269,Umm Lajj,SA,25.0213,37.2685,81.55,63,0,5.12,clear sky
270,Arkhangelsk,RU,64.5401,40.5433,37.51,86,100,15.66,overcast clouds
271,Ballaghaderreen,IE,53.9,-8.5833,52.83,98,100,5.01,overcast clouds
272,Halifax,CA,44.6453,-63.5724,66.09,97,100,18.41,overcast clouds
273,Mananjary,MG,-21.2167,48.3333,69.64,82,80,2.42,light rain
274,Nouadhibou,MR,20.931,-17.0347,76.98,53,0,16.11,clear sky
275,Opuwo,NA,-18.0607,13.84,70.84,29,18,2.39,few clouds
276,Dingle,PH,10.9995,122.6711,78.66,86,100,1.86,moderate rain
277,Puerto Narino,CO,-3.7703,-70.3831,75.45,96,100,1.32,moderate rain
278,Rawson,AR,-43.3002,-65.1023,73.36,32,77,2.28,broken clouds
279,Traverse City,US,44.7631,-85.6206,39.27,88,75,8.01,broken clouds
280,Ancud,CL,-41.8697,-73.8203,52.23,86,98,12.39,overcast clouds
281,Beloha,MG,-25.1667,45.05,70.41,71,1,12.8,clear sky
282,Dale,US,38.1689,-86.99,50.72,27,0,6.91,clear sky
283,Xai-Xai,MZ,-25.0519,33.6442,70.09,90,2,5.95,clear sky
284,Sozimskiy,RU,59.7418,52.2482,32.31,93,48,7.52,scattered clouds
285,Murgab,TM,37.4966,61.9714,48.07,87,0,4.61,clear sky
286,Bolobo,CD,-2.1667,16.2333,74.05,88,95,2.42,overcast clouds
287,Zhavoronki,RU,55.6497,37.1042,42.82,81,75,8.95,broken clouds
288,Sortavala,RU,61.7053,30.6918,36.55,89,96,6.76,overcast clouds
